id,pred
704-2704,1
704-14395,1
2704-14395,1
11098-10186,1
11098-2118,1
10186-2118,1
3903-950,1
3903-13427,1
950-13427,1
5817-12404,1
5817-6525,1
12404-6525,1
7193-7948,1
7193-5883,1
7948-5883,1
11405-6275,1
11405-7972,1
6275-7972,1
13473-5658,1
11043-8045,1
11043-7488,1
8045-7488,1
12008-6044,1
12008-3155,1
6044-3155,1
11269-7244,1
11269-14988,1
7244-14988,1
14293-9017,1
14293-7190,1
9017-7190,1
13878-5176,1
13878-8549,1
5176-8549,1
11135-4909,1
11135-2380,1
4909-2380,1
10218-2481,1
10218-12975,1
2481-12975,1
5815-974,1
5815-12341,1
974-12341,1
14004-190,1
14004-2700,1
190-2700,1
8810-5723,1
8810-2758,1
5723-2758,1
3480-8315,1
12833-15052,1
14929-8673,1
14929-529,1
8673-529,1
5448-694,1
5448-6607,1
694-6607,1
4859-6963,1
4859-624,1
6963-624,1
1482-3948,1
1482-4678,1
3948-4678,1
6253-1028,1
6253-11397,1
1028-11397,1
202-13374,1
202-7601,1
13374-7601,1
2950-2269,1
2950-1625,1
2269-1625,1
13617-6468,1
13617-8602,1
6468-8602,1
1774-4071,1
1774-5152,1
4071-5152,1
7223-3952,1
7223-13620,1
3952-13620,1
7957-9932,1
7957-5940,1
9932-5940,1
2887-13418,1
2887-10571,1
13418-10571,1
10151-4989,1
10151-5170,1
4989-5170,1
11310-13360,1
11310-1471,1
13360-1471,1
11173-4736,1
11173-14797,1
4736-14797,1
2545-4258,1
2545-13346,1
4258-13346,1
1262-6688,1
1262-48,1
6688-48,1
10237-11878,1
10237-8358,1
11878-8358,1
14120-8847,1
14120-12935,1
8847-12935,1
14237-3365,1
14237-11633,1
3365-11633,1
4188-2366,1
4188-7994,1
2366-7994,1
11195-1881,1
11195-14116,1
1881-14116,1
4082-1002,1
4082-4511,1
1002-4511,1
10247-6063,1
10247-14123,1
6063-14123,1
2692-11792,1
2692-8377,1
11792-8377,1
8934-550,1
8934-15046,1
550-15046,1
3267-13866,1
3267-14704,1
13866-14704,1
8688-1405,1
8688-9673,1
1405-9673,1
12968-219,1
12968-4099,1
219-4099,1
14009-7194,1
14009-252,1
7194-252,1
3981-12175,1
3981-7111,1
12175-7111,1
6676-9897,1
6676-164,1
9897-164,1
12184-6153,1
12184-4106,1
6153-4106,1
5676-13134,1
5676-2425,1
13134-2425,1
4637-4472,1
4637-10423,1
4472-10423,1
15022-541,1
15022-7819,1
541-7819,1
10541-12683,1
10541-171,1
12683-171,1
7031-13926,1
7031-10037,1
13926-10037,1
1101-12969,1
1101-10895,1
12969-10895,1
5734-10144,1
5734-5238,1
10144-5238,1
12377-1200,1
12377-12085,1
1200-12085,1
13072-14501,1
13072-8053,1
14501-8053,1
2650-3817,1
2650-5846,1
3817-5846,1
52-13248,1
52-11992,1
13248-11992,1
7261-9190,1
7261-10774,1
9190-10774,1
9595-6163,1
9595-385,1
6163-385,1
6332-12643,1
6332-14788,1
12643-14788,1
10449-14087,1
10449-5706,1
14087-5706,1
1292-13015,1
1292-15059,1
13015-15059,1
5835-4652,1
5835-13184,1
4652-13184,1
14118-13310,1
14118-11077,1
13310-11077,1
7688-11477,1
7688-4918,1
11477-4918,1
2502-13865,1
2502-3610,1
13865-3610,1
7374-13163,1
7374-9747,1
13163-9747,1
2724-7267,1
2724-9876,1
7267-9876,1
12741-5895,1
12741-13915,1
5895-13915,1
69-14413,1
69-14660,1
14413-14660,1
9719-6187,1
9719-7894,1
6187-7894,1
10227-7878,1
10227-14082,1
7878-14082,1
6686-2942,1
6686-11178,1
2942-11178,1
3990-9820,1
3990-6113,1
9820-6113,1
8273-10393,1
8273-11505,1
10393-11505,1
7006-5991,1
1472-3242,1
1472-158,1
3242-158,1
14600-13380,1
14600-2885,1
13380-2885,1
11630-1653,1
11630-2094,1
1653-2094,1
9356-7822,1
9356-3457,1
7822-3457,1
402-175,1
402-7839,1
175-7839,1
7827-5332,1
12811-9168,1
12811-10202,1
9168-10202,1
1049-9276,1
2086-5202,1
2086-1831,1
5202-1831,1
12921-3673,1
12921-9073,1
3673-9073,1
5865-9224,1
5865-4201,1
9224-4201,1
8-762,1
8-9614,1
762-9614,1
8496-12286,1
8496-3497,1
12286-3497,1
7993-2677,1
7993-10548,1
2677-10548,1
1089-10836,1
1089-11869,1
10836-11869,1
10927-13293,1
10927-8612,1
13293-8612,1
13904-10045,1
13904-8205,1
10045-8205,1
13226-716,1
13226-10717,1
716-10717,1
2752-11826,1
2752-5082,1
11826-5082,1
995-6696,1
995-3417,1
6696-3417,1
9352-1743,1
9352-2755,1
1743-2755,1
5643-7865,1
5643-1879,1
7865-1879,1
4182-13383,1
4182-14681,1
13383-14681,1
2816-8372,1
2816-5407,1
8372-5407,1
3841-13597,1
3841-7975,1
13597-7975,1
3399-14085,1
3399-10732,1
14085-10732,1
10264-7668,1
10264-3869,1
7668-3869,1
2578-13364,1
2578-6023,1
13364-6023,1
6951-10035,1
6951-2539,1
10035-2539,1
12401-7353,1
12401-9378,1
7353-9378,1
5321-13164,1
5321-10357,1
13164-10357,1
13477-14723,1
13477-1832,1
14723-1832,1
1596-13251,1
1596-1629,1
13251-1629,1
397-12775,1
397-5762,1
12775-5762,1
6504-135,1
6504-11662,1
135-11662,1
13249-483,1
13249-11036,1
483-11036,1
6166-13196,1
6166-10988,1
13196-10988,1
5016-7028,1
5016-13575,1
7028-13575,1
11644-13658,1
11644-4321,1
13658-4321,1
9762-6735,1
9762-11092,1
6735-11092,1
10168-1877,1
10168-3662,1
1877-3662,1
9210-5031,1
9210-351,1
5031-351,1
12541-9078,1
12541-4089,1
9078-4089,1
4884-5007,1
4884-6017,1
5007-6017,1
11791-12524,1
11791-2732,1
12524-2732,1
6664-2159,1
6664-8162,1
2159-8162,1
14521-8605,1
14521-4436,1
8605-4436,1
6920-6842,1
6920-2509,1
6842-2509,1
12102-7578,1
